word,label
กฎกระทรวง.mp4,0
กฎหมายรัฐธรรมนูญ.mp4,1
กรมอนามัย.mp4,2
กรรม.mp4,3
กรรมสิทธิ์.mp4,4
กระโดด.mp4,5
กล้วยบวชชี.mp4,6
กล้วยเชื่อม.mp4,7
กังวล.mp4,8
กีฬา.mp4,9
น้อง.mp4,10
เขิน.mp4,11
เขื่อนดิน.mp4,12
เขื่อนสิริกิติ์.mp4,13
เข้าใจผิด.mp4,14
เคย.mp4,15
เครียด.mp4,16
เครื่องปั่นดิน.mp4,17
เครื่องหมายการค้า.mp4,18
เจอ.mp4,19
เจ้าหนี้.mp4,20
เช่าซื้อ.mp4,21
เช่าทรัพย์.mp4,22
เซอร์เบีย.mp4,23
เซเนกัล.mp4,24
เซ็ง.mp4,25
เดิน.mp4,26
เดิมพัน.mp4,27
เพลีย.mp4,28
เมื่อย.mp4,29
เม็กซิโก.mp4,30
เฮโรอีน.mp4,31
แกมเบีย.mp4,32
แซมเบีย.mp4,33
โกหก.mp4,34
โจทก์.mp4,35
โชจู.mp4,36
ใกล้.mp4,37
ไดโนเสาร์.mp4,38
ไอซ์.mp4,39
